Day,detector_id,lane,speed,occupancy,volume,District,Road_EN
1,AID01101,Fast Lane,0.590735219,0.146849667,1.55694239,Southern,Aberdeen Praya Road near Abba House - Eastbound 
1,AID01102,Middle Lane,0.287508777,-0.180912734,-0.004105914,Southern,Aberdeen Praya Road near Hoi Fai Mansion - Eastbound 
1,AID01102,Fast Lane,0.236971037,-0.0716586,0.516243521,Southern,Wong Chuk Hang Road near Aberdeen Technical School - Eastbound 
1,AID01102,Middle Lane,0.338046518,-0.290166868,0.256068804,Southern,Wong Chuk Hang Road Flyover near AXA Southside - Eastbound 
1,AID01102,Slow Lane,-0.57163281,-0.290166868,-0.264280631,Southern,Wong Chuk Hang Road Flyover near Benefit Industrial Factory Building - Eastbound 
1,AID01103,Fast Lane,0.135895556,-0.180912734,0.256068804,Southern,Wong Chuk Hang Road near Hong Kong Academy of Medicine - Eastbound 
1,AID01103,Middle Lane,-0.066255406,-0.180912734,-0.264280631,Southern,Aberdeen Tunnel near Wong Chuk Hang Hospital - Eastbound 
1,AID01103,Slow Lane,-0.470557329,-0.508675136,-1.044804782,Wan Chai,Wong Nai Chung Gap Flyover near Racecourse - Northbound 
1,AID01104,Fast Lane,-0.268406367,0.474612069,1.296767672,Wan Chai,Canal Road Flyover near Cricket Club - Northbound 
1,AID01105,Slow Lane,-0.925396992,-0.399421002,-1.044804782,Wan Chai,Canal Road Flyover near Wan Chai Fire Station - Northbound 
1,AID01105,Fast Lane,0.439121998,-0.61792927,-0.784630065,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (1) 
1,AID01105,Slow Lane,0.338046518,-0.61792927,-0.264280631,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (2) 
1,AID01106,Fast Lane,-2.744755646,4.626269153,-0.264280631,Yau Tsim Mong,Princess Margaret Road near Parc Palais- Northbound  
1,AID01106,Slow Lane,-2.593142425,2.113424076,-0.264280631,Kowloon City,Princess Margaret Road near Oi Man Estate - Northbound 
1,AID01107,Fast Lane,-0.773783771,1.67640754,2.597641258,Kowloon City,Princess Margaret Road near Yu Chun Keung Memorial College - Northbound 
1,AID01108,Fast Lane,-0.066255406,-0.399421002,-0.004105914,Kowloon City,Princess Margaret Road near St. John Ambulance Brigade Kowloon Depot - Northbound 
1,AID01108,Slow Lane,0.338046518,-0.399421002,0.776418238,Kowloon City,Waterloo Road near St. George Apartments - Northbound 
1,AID01109,Fast Lane,-2.441529204,1.67640754,0.516243521,Kowloon City,Waterloo Road near Kowloon Tong Club - Northbound 
1,AID01109,Slow Lane,-0.975934733,0.037595533,0.776418238,Kowloon City,Waterloo Road near Durham Road - Northbound 
1,AID01110,Fast Lane,-1.178085694,0.583866202,0.516243521,Kowloon City,Waterloo Road near Kowloon East Barracks(1) - Northbound 
1,AID01110,Middle Lane,-1.9361518,2.113424076,1.036592955,Kowloon City,Waterloo Road near Kowloon East Barracks(2) - Northbound 
1,AID01110,Slow Lane,-1.430774396,1.67640754,1.296767672,Kowloon City,Waterloo Road near Warwick Road - Northbound 
1,AID01111,Fast Lane,-0.824321511,1.457899273,2.077291824,Kowloon City,Lion Rock Tunnel Road near Entrance from Kowloon - Northbound 
1,AID01111,Middle Lane ,-0.521095069,0.256103801,-0.004105914,Sha Tin,Lion Rock Tunnel Road near Toll Plaza - Northbound 
